language,population
kgt,4
yut,8000
unu,7
ket,61
auc,1650
luj,50000
ssk,560
kkl,2300
lbj,15000
dmv,2400
viv,5560
hul,5000
pov,1800000
ncr,13200
kgp,18500
xkt,2300
vmy,3700
ogc,334000
bhf,370
cpc,4000
kzk,14
drl,4
mup,5440000
wyr,3
bvo,1800
loc,85800
tku,3270
kgj,10000
quk,840
mpo,395
snj,34500
otd,78800
nds,2201000
mpx,20000
jos,30000
noe,2310000
bne,2800
bvc,13200
ogg,10000
hnh,1000
cse,10000
agr,53400
ncf,1840
bfz,1000000
hav,506000
pay,300
nzz,3000
afb,2550000
mqp,1500
gso,220000
jbt,40
wlh,6650
bhh,64000
zav,2500
rog,22000
kfv,3000
ygw,10000
dww,2280
bvy,10000
ztq,4000
gym,169000
kju,45
smk,56200
izh,50
mgk,850
tnw,21000
bjo,100000
txy,639000
pdi,1000
snw,11300
mqz,1180
itl,530
bqc,100000
tou,91400
cch,30000
nmk,3750
suv,15000
nmb,3350
ruu,4000
xkb,112000
rhg,484000
nhw,400000
nym,1470000
keh,7000
bpg,790
yso,36000
snu,250
sui,7500
mik,290
amn,4420
sie,16700
bze,197000
ctl,1720
nbc,66900
lul,33000
plc,12000
snk,1280000
acw,10300000
mwh,3840
mxu,17000
lsb,58000
six,2580
ldh,3420
zaq,3400
cpa,25000
tef,2080
tzh,589000
phd,1010
mse,383000
atn,27100
lka,4670
ady,86200
nur,500
crc,6
szp,800
gsw,5200000
ems,80
nki,23600
wun,30000
vum,5000
adu,5000
bcv,10000
vnm,500
spv,2630000
dds,45300
ijj,171000
clw,32
ddg,51160
dju,1340
hap,3000
eiv,5000
lbz,300
kem,83000
pnp,9460
mfa,1470000
kzn,134000
ter,15800
tit,1
afr,17540000
yva,10000
bdi,50000
tjg,50000
zpa,5000
bel,3510000
xby,89
nzy,18500
tmd,2000
nsd,210000
lgu,4180
zro,3
yna,25000
qws,7120
zmb,120000
nzd,10000
rmz,224000
ire,70
kzp,6660
txx,10000
dbr,34000
pez,10000
maq,1500
buq,1190
ktv,74200
ybh,14900
pnb,80500000
tsc,1000000
oca,50
pcm,120650000
oru,5000
isd,32600
rav,35900
zad,5000
tiy,60500
nvh,5
sbn,56500
wbb,1500
tys,300
lwa,21000
wab,390
swp,20810
snf,48000
mjp,5850
tbv,3230
sfw,305000
mjv,7850
dol,2390
ald,23000
bum,1658000
yko,2200
bny,12000
bnk,800
nkj,700
zpr,2500
leq,1760
utr,10000
zns,400
sje,20
gwt,32000
aib,12000
dln,6000
srg,1990
bkl,1200
nps,2500
bpe,2220
bxh,1500
sim,6000
ind,198000000
