language,population,census
Hindi,337272114,1991
Bengali,69595738,1991
Telugu,66017615,1991
Marathi,62481681,1991
Tamil,53006368,1991
Urdu,43406932,1991
Gujarati,40673814,1991
Kannada,32753676,1991
Malayalam,30377176,1991
Oriya,28061313,1991
Punjabi,23378744,1991
Assamese,13079696,1991
Bhili/Bhilodi,5572308,1991
Santali,5216325,1991
Gondi,2124852,1991
Sindhi,2122848,1991
Nepali,2076645,1991
Konkani,1760607,1991
Tulu,1552259,1991
Kurukh/Oraon,1426618,1991
Manipuri,1270216,1991
Bodo/Boro,1221881,1991
Khandeshi,973709,1991
Ho,949216,1991
Khasi,912283,1991
Mundari,861378,1991
Tripuri,694940,1991
Garo,675642,1991
Kui,641662,1991
Lushai/Mizo,538842,1991
Halabi,534313,1991
Korku,466073,1991
Munda,413894,1991
Miri/Mishing,390583,1991
Karbi/Mikir,366229,1991
Savara,273168,1991
Koya,270994,1991
Kharia,225556,1991
Khond/Kondh,220783,1991
English,178598,1991
Nissi/Dafla,173791,1991
Ao,172449,1991
Sema,166157,1991
Kisan,162088,1991
Adi,158409,1991
Rabha,139365,1991
Konyak,137722,1991
Malto,108148,1991
Thado,107992,1991
Tangkhul,101841,1991
Kolami,98281,1991
Angami,97631,1991
Coorgi/Kodagu,97011,1991
Dogri,89681,1991
Dimasa,88543,1991
Lotha,85802,1991
Mao,77810,1991
Tibetan,69416,1991
Kabui,68925,1991
Phom,65350,1991
Hmar,65204,1991
Kinnauri,61794,1991
Bishnupuriya,59233,1991
Kuki,58263,1991
Kashmiri,56693,1991
Bhotia,55483,1991
Sanskrit,49736,1991
Paite,49237,1991
Chakru/Chokri,48207,1991
Sangtam,47461,1991
Yimchungre,47227,1991
Bhumij,45302,1991
Parji,44001,1991
Monpa,43226,1991
Wancho,39600,1991
Lepcha,39342,1991
Rengma,37521,1991
Zeliang,35079,1991
Lalung,33746,1991
Chang,32478,1991
Chakhesang,30985,1991
Nocte,30441,1991
Halam,29322,1991
Mishmi,29000,1991
Koda/Kora,28200,1991
Limbu,28174,1991
Gadaba,28158,1991
Mogh,28135,1991
Tangsa,28121,1991
Korwa,27485,1991
