C-17 POPULATION BY BILINGUALISM AND TRILINGUALISM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State,State name,Total speakers of languages,,,,,1st subsidiary languages,,,,,2nd subsidiary languages,,,,
Code,,Code,Name,Persons,Males,Females,Code,Name,Persons,Males,Females,Code,Name,Persons,Males,Females
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,
0000,INDIA,001000,ASSAMESE,13168484,6787493,6380991,,,,,,,,,,
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,1256723,663284,593439,,,,,
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,006000,HINDI,146302,97379,48923
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,040000,ENGLISH,28865,19969,8896
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,028000,ARABIC/ARBI,2141,1407,734
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,022000,URDU,1517,1221,296
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,043000,GARO,1000,903,97
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,014000,NEPALI,815,508,307
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,003000,BODO,515,331,184
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,015000,ORIYA,186,110,76
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,123000,OTHERS,122,62,60
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,018000,SANTALI,55,30,25
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,052000,KARBI / MIKIR,50,28,22
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,012000,MANIPURI,47,24,23
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,017000,SANSKRIT,27,21,6
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,055000,KHASI,24,20,4
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,101000,RABHA,24,14,10
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,086000,MIRI/MISHING,21,11,10
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,039000,DIMASA,18,9,9
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,061000,KOCH,14,9,5
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,005000,GUJARATI,13,10,3
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,016000,PUNJABI,12,5,7
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,082000,LUSHAI/MIZO,5,5,0
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,004000,DOGRI,3,1,2
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,011000,MALAYALAM,3,2,1
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,072000,KURUKH/ORAON,3,1,2
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,077000,LALUNG,3,1,2
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,093000,NISSI/DAFLA,3,2,1
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,013000,MARATHI,2,1,1
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,020000,TAMIL,2,2,0
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,021000,TELUGU,1,1,0
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,023000,ADI,1,1,0
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,031000,BHOTIA,1,1,0
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,032000,BHUMIJ,1,1,0
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,038000,DEORI,1,0,1
0000,INDIA,001000,ASSAMESE,,,,002000,BENGALI,,,,091000,MUNDARI,1,1,0
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,20180,10536,9644,,,,,
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,006000,HINDI,3194,2132,1062
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,040000,ENGLISH,783,504,279
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,002000,BENGALI,696,423,273
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,014000,NEPALI,203,137,66
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,043000,GARO,47,32,15
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,018000,SANTALI,37,33,4
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,052000,KARBI / MIKIR,32,14,18
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,101000,RABHA,32,18,14
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,086000,MIRI/MISHING,14,10,4
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,123000,OTHERS,11,9,2
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,055000,KHASI,4,3,1
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,072000,KURUKH/ORAON,3,2,1
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,022000,URDU,2,2,0
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,015000,ORIYA,1,0,1
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,038000,DEORI,1,0,1
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,061000,KOCH,1,0,1
0000,INDIA,001000,ASSAMESE,,,,003000,BODO,,,,077000,LALUNG,1,1,0
