language,population,census
Assamese,15311351,2011
Bengali,97237669,2011
Bodo,1482929,2011
Dogri,2596767,2011
Gujarati,55492554,2011
Hindi,528347193,2011
Kannada,43706512,2011
Kashmiri,6797587,2011
Konkani,2256502,2011
Maithili,13583464,2011
Malayalam,34838819,2011
Manipuri,1761079,2011
Marathi,83026680,2011
Nepali,2926168,2011
Odia,37521324,2011
Punjabi,33124726,2011
Sanskrit,24821,2011
Santali,7368192,2011
Sindhi,2772264,2011
Tamil,69026881,2011
Telugu,81127740,2011
Urdu,50772631,2011
Adi,248834,2011
Anal,27217,2011
Angami,152796,2011
Ao,260008,2011
Balti,13774,2011
Bhotia,229954,2011
Bhumij,27506,2011
Bishnupuriya,79646,2011
Chakhesang,19846,2011
Chang,66852,2011
Deori,32376,2011
Dimasa,137184,2011
English,259678,2011
Gadaba,40976,2011
Gangte,16542,2011
Garo,1145323,2011
Gondi,2984453,2011
Halabi,766297,2011
Halam,38915,2011
Hmar,98988,2011
Ho,1421418,2011
Jatapu,20028,2011
Juang,30378,2011
Kabui,122931,2011
Khandeshi,1860236,2011
Kharia,297614,2011
Khasi,1431344,2011
Khezha,41625,2011
Khiemnungan,61983,2011
Kinnauri,83561,2011
Kisan,206100,2011
Koch,36434,2011
Kolami,128451,2011
Kom,15108,2011
Konda,60699,2011
Konyak,244477,2011
Korku,727133,2011
Korwa,28453,2011
Koya,407423,2011
Kui,941488,2011
Kuki,83968,2011
Ladakhi,14952,2011
Lahauli,11574,2011
Lahnda,108791,2011
Lakher,42429,2011
Lalung,33921,2011
Lepcha,47331,2011
Liangmei,49811,2011
Limbu,40835,2011
Lotha,179467,2011
Malto,234991,2011
Mao,240205,2011
Maram,32460,2011
Maring,25814,2011
Mishmi,44100,2011
Mogh,36665,2011
Monpa,13703,2011
Munda,505922,2011
Mundari,1128228,2011
Nicobarese,29099,2011
Nocte,30839,2011
Paite,79507,2011
Parji,52349,2011
Pawi,28639,2011
Phom,54416,2011
Pochury,21654,2011
Rabha,139986,2011
Rai,15644,2011
Rengma,65328,2011
Sangtam,76000,2011
Savara,409549,2011
Sema,10802,2011
Sherpa,16012,2011
Shina,32247,2011
Tamang,20154,2011
Tangkhul,187276,2011
Tangsa,38624,2011
Thado,229340,2011
Tibetan,182685,2011
Tripuri,1011294,2011
Tulu,1846427,2011
Vaiphei,42748,2011
Wancho,59154,2011
Yimchungre,83259,2011
Zeliang,63529,2011
Zemi,50925,2011
Zou,26545,2011
Others,1875542,2011
