language,census,population
Adi,1971,99228
Adi,1981,125371
Adi,1991,158409
Adi,2001,198462
Adi,2011,248834
Afghani/Kabuli/Pashto,2001,11086
Afghani/Kabuli/Pashto,2011,21677
Anal,1971,6592
Anal,1981,11074
Anal,1991,12156
Anal,2001,23191
Anal,2011,27217
Angami,1971,43569
Angami,1981,41761
Angami,1991,97631
Angami,2001,132225
Angami,2011,152796
Ao,1971,75381
Ao,1981,102321
Ao,1991,172449
Ao,2001,261387
Ao,2011,260008
Arabic/Arbi,1971,23318
Arabic/Arbi,1981,28116
Arabic/Arbi,1991,21975
Arabic/Arbi,2001,51728
Arabic/Arbi,2011,54947
Balti,1981,40136
Balti,1991,48498
Balti,2011,20053
Bhili/Bhilodi,1971,3399285
Bhili/Bhilodi,1981,4293314
Bhili/Bhilodi,1991,5572308
Bhili/Bhilodi,2001,9582957
Bhili/Bhilodi,2011,10413637
Bhotia,1971,33226
Bhotia,1981,31438
Bhotia,1991,55483
Bhotia,2001,81012
Bhotia,2011,229954
Bhumij,1971,51651
Bhumij,1981,50384
Bhumij,1991,45302
Bhumij,2001,47443
Bhumij,2011,27506
Bishnupuriya,1991,59233
Bishnupuriya,2001,77545
Bishnupuriya,2011,79646
Chakhesang,1991,30985
Chakhesang,2001,11415
Chakhesang,2011,19846
Chakru/Chokri,1991,48207
Chakru/Chokri,2001,83560
Chakru/Chokri,2011,91216
Chang,1971,15816
Chang,1981,22442
Chang,1991,32478
Chang,2001,62408
Chang,2011,66852
Coorgi/Kodagu,1971,72085
Coorgi/Kodagu,1981,92678
Coorgi/Kodagu,1991,97011
Coorgi/Kodagu,2001,166187
Coorgi/Kodagu,2011,113857
Deori,1971,14937
Deori,1991,17901
Deori,2001,27960
Deori,2011,32376
Dimasa,1971,40149
Dimasa,1991,88543
Dimasa,2001,111961
Dimasa,2011,137184
English,1971,191595
English,1981,202440
English,1991,178598
English,2001,226449
English,2011,259678
Gadaba,1971,20420
Gadaba,1981,28027
Gadaba,1991,28158
Gadaba,2001,26262
Gadaba,2011,40976
Gangte,1971,6033
Gangte,1991,13695
Gangte,2001,14500
Gangte,2011,16542
Garo,1971,411731
Garo,1981,417888
Garo,1991,675642
Garo,2001,889479
Garo,2011,1145323
Gondi,1971,1688284
Gondi,1981,1913262
Gondi,1991,2124852
Gondi,2001,2713790
Gondi,2011,2984453
Halabi,1971,346259
Halabi,1981,534825
Halabi,1991,534313
Halabi,2001,593443
Halabi,2011,766297
Halam,1971,19197
Halam,1981,19364
Halam,1991,29322
Halam,2001,38275
Halam,2011,38915
Hmar,1971,38207
Hmar,1981,36365
Hmar,1991,65204
Hmar,2001,83404
Hmar,2011,98988
