language,census1,pop1,census2,pop2
Hindi,1991,337272114,2001,422048642
Hindi,2001,422048642,2011,528347193
Bengali,1991,69595738,2001,83369769
Bengali,2001,83369769,2011,97237669
Telugu,1991,66017615,2001,74002856
Telugu,2001,74002856,2011,81127740
Marathi,1991,62481681,2001,71936894
Marathi,2001,71936894,2011,83026680
Tamil,1991,53006368,2001,60793814
Tamil,2001,60793814,2011,69026881
Urdu,1991,43406932,2001,51536111
Urdu,2001,51536111,2011,50772631
Gujarati,1991,40673814,2001,46091617
Gujarati,2001,46091617,2011,55492554
Kannada,1991,32753676,2001,37924011
Kannada,2001,37924011,2011,43706512
Malayalam,1991,30377176,2001,33066392
Malayalam,2001,33066392,2011,34838819
Oriya,1991,28061313,2001,33017446
Punjabi,1991,23378744,2001,29102477
Punjabi,2001,29102477,2011,33124726
Assamese,1991,13079696,2001,13168484
Assamese,2001,13168484,2011,15311351
Bhili/Bhilodi,1991,5572308,2001,9582957
Santali,1991,5216325,2001,6469600
Santali,2001,6469600,2011,7368192
Gondi,1991,2124852,2001,2713790
Gondi,2001,2713790,2011,2984453
Sindhi,1991,2122848,2001,2535485
Sindhi,2001,2535485,2011,2772264
Nepali,1991,2076645,2001,2871749
Nepali,2001,2871749,2011,2926168
Konkani,1991,1760607,2001,2489015
Konkani,2001,2489015,2011,2256502
Tulu,1991,1552259,2001,1722768
Tulu,2001,1722768,2011,1846427
Kurukh/Oraon,1991,1426618,2001,1751489
Manipuri,1991,1270216,2001,1466705
Manipuri,2001,1466705,2011,1761079
Khandeshi,1991,973709,2001,2075258
Khandeshi,2001,2075258,2011,1860236
Ho,1991,949216,2001,1042724
Ho,2001,1042724,2011,1421418
Khasi,1991,912283,2001,1128575
Khasi,2001,1128575,2011,1431344
Mundari,1991,861378,2001,1061352
Mundari,2001,1061352,2011,1128228
Tripuri,1991,694940,2001,854023
Tripuri,2001,854023,2011,1011294
Garo,1991,675642,2001,889479
Garo,2001,889479,2011,1145323
Kui,1991,641662,2001,916222
Kui,2001,916222,2011,941488
Lushai/Mizo,1991,538842,2001,674756
Halabi,1991,534313,2001,593443
Halabi,2001,593443,2011,766297
Korku,1991,466073,2001,574481
Korku,2001,574481,2011,727133
Munda,1991,413894,2001,469357
Munda,2001,469357,2011,505922
Miri/Mishing,1991,390583,2001,551224
Karbi/Mikir,1991,366229,2001,419534
Savara,1991,273168,2001,252519
Savara,2001,252519,2011,409549
Koya,1991,270994,2001,362070
Koya,2001,362070,2011,407423
Kharia,1991,225556,2001,239608
Kharia,2001,239608,2011,297614
Khond/Kondh,1991,220783,2001,118597
English,1991,178598,2001,226449
English,2001,226449,2011,259678
Nissi/Dafla,1991,173791,2001,211485
Ao,1991,172449,2001,261387
Ao,2001,261387,2011,260008
Sema,1991,166157,2001,103529
Sema,2001,103529,2011,10802
Kisan,1991,162088,2001,141088
Kisan,2001,141088,2011,206100
Adi,1991,158409,2001,198462
Adi,2001,198462,2011,248834
Rabha,1991,139365,2001,164770
Rabha,2001,164770,2011,139986
Konyak,1991,137722,2001,248109
Konyak,2001,248109,2011,244477
Malto,1991,108148,2001,224926
Malto,2001,224926,2011,234991
Thado,1991,107992,2001,190595
Thado,2001,190595,2011,229340
Tangkhul,1991,101841,2001,142035
Tangkhul,2001,142035,2011,187276
Kolami,1991,98281,2001,121855
Kolami,2001,121855,2011,128451
Angami,1991,97631,2001,132225
Angami,2001,132225,2011,152796
Coorgi/Kodagu,1991,97011,2001,166187
Dimasa,1991,88543,2001,111961
Dimasa,2001,111961,2011,137184
Lotha,1991,85802,2001,170001
Lotha,2001,170001,2011,179467
Tibetan,1991,69416,2001,85278
Tibetan,2001,85278,2011,182685
Kabui,1991,68925,2001,94758
Kabui,2001,94758,2011,122931
Phom,1991,65350,2001,122508
Phom,2001,122508,2011,54416
Hmar,1991,65204,2001,83404
Hmar,2001,83404,2011,98988
Kinnauri,1991,61794,2001,65097
Kinnauri,2001,65097,2011,83561
Bishnupuriya,1991,59233,2001,77545
Bishnupuriya,2001,77545,2011,79646
Kuki,1991,58263,2001,52873
Kuki,2001,52873,2011,83968
Bhotia,1991,55483,2001,81012
Bhotia,2001,81012,2011,229954
Sanskrit,1991,49736,2001,14135
Sanskrit,2001,14135,2011,24821
Paite,1991,49237,2001,64100
Paite,2001,64100,2011,79507
Chakru/Chokri,1991,48207,2001,83560
Sangtam,1991,47461,2001,84273
Sangtam,2001,84273,2011,76000
Yimchungre,1991,47227,2001,92144
Yimchungre,2001,92144,2011,83259
Bhumij,1991,45302,2001,47443
Bhumij,2001,47443,2011,27506
Parji,1991,44001,2001,51216
Parji,2001,51216,2011,52349
Monpa,1991,43226,2001,55876
Monpa,2001,55876,2011,13703
Wancho,1991,39600,2001,49072
Wancho,2001,49072,2011,59154
Lepcha,1991,39342,2001,50629
Lepcha,2001,50629,2011,47331
Rengma,1991,37521,2001,61345
Rengma,2001,61345,2011,65328
Zeliang,1991,35079,2001,61547
Zeliang,2001,61547,2011,63529
Lalung,1991,33746,2001,27072
Lalung,2001,27072,2011,33921
Chang,1991,32478,2001,62408
Chang,2001,62408,2011,66852
Chakhesang,1991,30985,2001,11415
Chakhesang,2001,11415,2011,19846
Nocte,1991,30441,2001,32957
Nocte,2001,32957,2011,30839
Halam,1991,29322,2001,38275
Halam,2001,38275,2011,38915
Mishmi,1991,29000,2001,33955
Mishmi,2001,33955,2011,44100
Koda/Kora,1991,28200,2001,43030
Limbu,1991,28174,2001,37265
Limbu,2001,37265,2011,40835
Gadaba,1991,28158,2001,26262
Gadaba,2001,26262,2011,40976
Mogh,1991,28135,2001,30639
Mogh,2001,30639,2011,36665
Tangsa,1991,28121,2001,40086
Tangsa,2001,40086,2011,38624
Korwa,1991,27485,2001,34586
Korwa,2001,34586,2011,28453
Liangmei,1991,27478,2001,34232
Liangmei,2001,34232,2011,49811
Lahnda,1991,27386,2001,92234
Lahnda,2001,92234,2011,108791
Nicobarese,1991,26261,2001,28784
Nicobarese,2001,28784,2011,29099
Vaiphei,1991,26185,2001,39673
Vaiphei,2001,39673,2011,42748
Koch,1991,26179,2001,31119
Koch,2001,31119,2011,36434
Jatapu,1991,25730,2001,39331
Jatapu,2001,39331,2011,20028
Khiemnungan,1991,23544,2001,37755
Khiemnungan,2001,37755,2011,61983
Lakher,1991,22947,2001,34751
Lakher,2001,34751,2011,42429
Zemi,1991,22634,2001,34110
Zemi,2001,34110,2011,50925
Lahauli,1991,22027,2001,22646
Lahauli,2001,22646,2011,11574
Arabic/Arbi,1991,21975,2001,51728
Deori,1991,17901,2001,27960
Deori,2001,27960,2011,32376
Konda,1991,17864,2001,56262
Konda,2001,56262,2011,60699
Juang,1991,16858,2001,23708
Juang,2001,23708,2011,30378
Sherpa,1991,16105,2001,18342
